Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Terry Rozier (13772482),Terry Rozier,13772482,PG/G/UTIL,6700,CHA@NY 11/16/2019 07:30PM ET,CHA,32.04
PF/C,LaMarcus Aldridge (13772485),LaMarcus Aldridge,13772485,PF/C/F/UTIL,6600,POR@SA 11/16/2019 08:30PM ET,SA,32.85
PG/SG,CJ McCollum (13772489),CJ McCollum,13772489,PG/SG/G/UTIL,6500,POR@SA 11/16/2019 08:30PM ET,POR,32.56
PF/C,Julius Randle (13772493),Julius Randle,13772493,PF/C/F/UTIL,6400,CHA@NY 11/16/2019 07:30PM ET,NY,34.46
C,Hassan Whiteside (13772497),Hassan Whiteside,13772497,C/UTIL,6300,POR@SA 11/16/2019 08:30PM ET,POR,35.59
PF/C,Derrick Favors (13772499),Derrick Favors,13772499,PF/C/F/UTIL,6200,NO@MIA 11/16/2019 08:00PM ET,NO,26.03
C,Myles Turner (13772503),Myles Turner,13772503,C/UTIL,6100,MIL@IND 11/16/2019 07:00PM ET,IND,27.94
SF/PF,Marcus Morris (13772505),Marcus Morris,13772505,SF/PF/F/UTIL,6000,CHA@NY 11/16/2019 07:30PM ET,NY,31.52
SG/SF,Jeremy Lamb (13772509),Jeremy Lamb,13772509,SG/SF/F/G/UTIL,6000,MIL@IND 11/16/2019 07:00PM ET,IND,33
PG/SF,Justise Winslow (13772514),Justise Winslow,13772514,PG/SF/F/G/UTIL,5900,NO@MIA 11/16/2019 08:00PM ET,MIA,33.2
PG/SG,Kendrick Nunn (13772519),Kendrick Nunn,13772519,PG/SG/G/UTIL,5800,NO@MIA 11/16/2019 08:00PM ET,MIA,29.41
PG,Lonzo Ball (13772523),Lonzo Ball,13772523,PG/G/UTIL,5800,NO@MIA 11/16/2019 08:00PM ET,NO,29.94
PG,Goran Dragic (13772530),Goran Dragic,13772530,PG/G/UTIL,5700,NO@MIA 11/16/2019 08:00PM ET,MIA,29.70
SF/PF,T.J. Warren (13772526),T.J. Warren,13772526,SF/PF/F/UTIL,5700,MIL@IND 11/16/2019 07:00PM ET,IND,26.46
C,Marc Gasol (13772533),Marc Gasol,13772533,C/UTIL,5700,TOR@DAL 11/16/2019 08:30PM ET,TOR,20.98
PG/SG,RJ Barrett (13772535),RJ Barrett,13772535,PG/SG/G/UTIL,5600,CHA@NY 11/16/2019 07:30PM ET,NY,31.06
SF/PF,Miles Bridges (13772539),Miles Bridges,13772539,SF/PF/F/UTIL,5600,CHA@NY 11/16/2019 07:30PM ET,CHA,24.54
C,Cody Zeller (13772543),Cody Zeller,13772543,C/UTIL,5500,CHA@NY 11/16/2019 07:30PM ET,CHA,28.84
SG/SF,Josh Hart (13772545),Josh Hart,13772545,SG/SF/F/G/UTIL,5400,NO@MIA 11/16/2019 08:00PM ET,NO,27.38
SF/PF,Rondae Hollis-Jefferson (13772550),Rondae Hollis-Jefferson,13772550,SF/PF/F/UTIL,5400,TOR@DAL 11/16/2019 08:30PM ET,TOR,20.31
SF/PF,Kenrich Williams (13772554),Kenrich Williams,13772554,SF/PF/F/UTIL,5300,NO@MIA 11/16/2019 08:00PM ET,NO,19.30
PF/C,Serge Ibaka (13772558),Serge Ibaka,13772558,PF/C/F/UTIL,5300,TOR@DAL 11/16/2019 08:30PM ET,TOR,26.25
PG,Dejounte Murray (13772562),Dejounte Murray,13772562,PG/G/UTIL,5200,POR@SA 11/16/2019 08:30PM ET,SA,29.68
PG,Jeff Teague (13772565),Jeff Teague,13772565,PG/G/UTIL,5100,HOU@MIN 11/16/2019 08:00PM ET,MIN,29.12
PG/SG,Malik Monk (13772568),Malik Monk,13772568,PG/SG/G/UTIL,5000,CHA@NY 11/16/2019 07:30PM ET,CHA,17.58
PG,Dennis Smith Jr. (13772572),Dennis Smith Jr.,13772572,PG/G/UTIL,5000,CHA@NY 11/16/2019 07:30PM ET,NY,9.95
SG/SF,JJ Redick (13772583),JJ Redick,13772583,SG/SF/F/G/UTIL,4900,NO@MIA 11/16/2019 08:00PM ET,NO,19.77
C,Brook Lopez (13772575),Brook Lopez,13772575,C/UTIL,4900,MIL@IND 11/16/2019 07:00PM ET,MIL,23.61
PG/SG,Aaron Holiday (13772579),Aaron Holiday,13772579,PG/SG/G/UTIL,4900,MIL@IND 11/16/2019 07:00PM ET,IND,17.82
C,Dwight Powell (13772577),Dwight Powell,13772577,C/UTIL,4900,TOR@DAL 11/16/2019 08:30PM ET,DAL,19.31
PF/C,PJ Washington (13772592),PJ Washington,13772592,PF/C/F/UTIL,4800,CHA@NY 11/16/2019 07:30PM ET,CHA,26.46
SF/PF,Robert Covington (13772588),Robert Covington,13772588,SF/PF/F/UTIL,4800,HOU@MIN 11/16/2019 08:00PM ET,MIN,26.17
SF/PF,Rudy Gay (13772600),Rudy Gay,13772600,SF/PF/F/UTIL,4800,POR@SA 11/16/2019 08:30PM ET,SA,24.21
SF/PF,OG Anunoby (13772596),OG Anunoby,13772596,SF/PF/F/UTIL,4800,TOR@DAL 11/16/2019 08:30PM ET,TOR,26.85
PF/C,Bobby Portis (13772608),Bobby Portis,13772608,PF/C/F/UTIL,4700,CHA@NY 11/16/2019 07:30PM ET,NY,23.17
SF/PF,De'Andre Hunter (13772604),De'Andre Hunter,13772604,SF/PF/F/UTIL,4700,ATL@LAC 11/16/2019 10:30PM ET,ATL,19.36
PG/SG,Patrick Beverley (13772612),Patrick Beverley,13772612,PG/SG/G/UTIL,4600,ATL@LAC 11/16/2019 10:30PM ET,LAC,22.77
SG,Tyler Herro (13772616),Tyler Herro,13772616,SG/G/UTIL,4600,NO@MIA 11/16/2019 08:00PM ET,MIA,23.75
SG/SF,Rodney Hood (13772619),Rodney Hood,13772619,SG/SF/F/G/UTIL,4600,POR@SA 11/16/2019 08:30PM ET,POR,20.38
C,Mitchell Robinson (13772628),Mitchell Robinson,13772628,C/UTIL,4500,CHA@NY 11/16/2019 07:30PM ET,NY,23.31
SG/SF,Nicolas Batum (13772655),Nicolas Batum,13772655,SG/SF/F/G/UTIL,4500,CHA@NY 11/16/2019 07:30PM ET,CHA,7
SG/SF,Josh Okogie (13772636),Josh Okogie,13772636,SG/SF/F/G/UTIL,4500,HOU@MIN 11/16/2019 08:00PM ET,MIN,21.65
C,Alex Len (13772634),Alex Len,13772634,C/UTIL,4500,ATL@LAC 11/16/2019 10:30PM ET,ATL,17.66
SG/SF,Kevin Huerter (13772650),Kevin Huerter,13772650,SG/SF/F/G/UTIL,4500,ATL@LAC 11/16/2019 10:30PM ET,ATL,19.68
PF/C,Meyers Leonard (13772624),Meyers Leonard,13772624,PF/C/F/UTIL,4500,NO@MIA 11/16/2019 08:00PM ET,MIA,16.84
SG/SF,E'Twaun Moore (13772641),E'Twaun Moore,13772641,SG/SF/F/G/UTIL,4500,NO@MIA 11/16/2019 08:00PM ET,NO,15.04
PG/SG,Derrick White (13772630),Derrick White,13772630,PG/SG/G/UTIL,4500,POR@SA 11/16/2019 08:30PM ET,SA,20.23
PG/SG,Anfernee Simons (13772646),Anfernee Simons,13772646,PG/SG/G/UTIL,4500,POR@SA 11/16/2019 08:30PM ET,POR,17.75
PG,Elfrid Payton (13772665),Elfrid Payton,13772665,PG/G/UTIL,4400,CHA@NY 11/16/2019 07:30PM ET,NY,22.12
SF/PF,P.J. Tucker (13772668),P.J. Tucker,13772668,SF/PF/F/UTIL,4400,HOU@MIN 11/16/2019 08:00PM ET,HOU,25.17
PG/SF,DeAndre' Bembry (13772672),DeAndre' Bembry,13772672,PG/SF/F/G/UTIL,4400,ATL@LAC 11/16/2019 10:30PM ET,ATL,20.66
SF/PF,JaMychal Green (13772677),JaMychal Green,13772677,SF/PF/F/UTIL,4400,ATL@LAC 11/16/2019 10:30PM ET,LAC,19.94
SG/SF,Norman Powell (13772660),Norman Powell,13772660,SG/SF/F/G/UTIL,4400,TOR@DAL 11/16/2019 08:30PM ET,TOR,18.61
PF/C,Taj Gibson (13772681),Taj Gibson,13772681,PF/C/F/UTIL,4300,CHA@NY 11/16/2019 07:30PM ET,NY,13.1
PG/SG,Frank Ntilikina (13772685),Frank Ntilikina,13772685,PG/SG/G/UTIL,4300,CHA@NY 11/16/2019 07:30PM ET,NY,16.86
SF/PF,Jake Layman (13772689),Jake Layman,13772689,SF/PF/F/UTIL,4300,HOU@MIN 11/16/2019 08:00PM ET,MIN,17.94
C,Tyson Chandler (13772702),Tyson Chandler,13772702,C/UTIL,4200,HOU@MIN 11/16/2019 08:00PM ET,HOU,7.89
PG/SG,Frank Jackson (13772693),Frank Jackson,13772693,PG/SG/G/UTIL,4200,NO@MIA 11/16/2019 08:00PM ET,NO,17
SG/SF,Kent Bazemore (13772697),Kent Bazemore,13772697,SG/SF/F/G/UTIL,4200,POR@SA 11/16/2019 08:30PM ET,POR,20.19
C,Ivica Zubac (13772704),Ivica Zubac,13772704,C/UTIL,4100,ATL@LAC 11/16/2019 10:30PM ET,LAC,20.85
C,Damian Jones (13772724),Damian Jones,13772724,C/UTIL,4100,ATL@LAC 11/16/2019 10:30PM ET,ATL,12.75
